Perijove	Time (UTC/SCET)
0	2016-07-05 02:47:31.851
1	2016-08-27 12:50:44.060
2	2016-10-19 18:10:53.669
3	2016-12-11 17:03:40.665
4	2017-02-02 12:57:08.935
5	2017-03-27 08:51:51.552
6	2017-05-19 06:00:46.945
7	2017-07-11 01:54:42.322
8	2017-09-01 21:48:50.499
9	2017-10-24 17:42:31.438
10	2017-12-16 17:56:58.997
11	2018-02-07 13:51:29.722
12	2018-04-01 09:45:42.502
13	2018-05-24 05:39:50.502
14	2018-07-16 05:17:21.832
15	2018-09-07 01:11:40.519
16	2018-10-29 21:05:59.956
17	2018-12-21 16:59:48.319
18	2019-02-12 17:34:30.940
19	2019-04-06 12:14:22.473
20	2019-05-29 08:08:18.282
21	2019-07-21 04:02:43.348
22	2019-09-12 03:40:44.422
23	2019-11-03 22:18:13.850
24	2019-12-26 17:36:12.571
25	2020-02-17 17:51:55.133
26	2020-04-10 13:47:40.171
27	2020-06-02 10:20:02.882
28	2020-07-25 06:15:27.223
29	2020-09-16 02:10:52.328
30	2020-11-08 01:49:42.104
31	2020-12-30 21:45:44.567
32	2021-02-21 17:40:34.245
33	2021-04-15 23:32:24.910
34	2021-06-08 07:46:00.963
35	2021-07-21 08:15:05.123
36	2021-09-02 22:42:51.807
37	2021-10-16 17:13:32.189
38	2021-11-29 14:13:29.633
39	2022-01-12 10:33:01.817
40	2022-02-25 01:59:56.638
41	2022-04-09 15:49:17.759
42	2022-05-23 02:15:53.911
43	2022-07-05 09:17:22.233
44	2022-08-17 14:45:39.432
45	2022-09-29 17:11:55.543
46	2022-11-06 21:38:36.500
47	2022-12-15 03:23:22.583
48	2023-01-22 05:44:18.955
49	2023-03-01 05:53:21.552
50	2023-04-08 08:13:34.385
51	2023-05-16 07:22:44.593
52	2023-06-23 06:55:08.478
53	2023-07-31 09:05:43.729
54	2023-09-07 11:58:01.653
55	2023-10-15 10:52:49.914
56	2023-11-22 12:17:18.437
57	2023-12-30 12:36:20.761
58	2024-02-03 21:47:29.385
59	2024-03-07 15:42:20.208
60	2024-04-09 08:48:18.595
61	2024-05-12 03:38:38.633
62	2024-06-13 19:53:40.879
63	2024-07-16 14:33:58.043
64	2024-08-18 06:57:08.249
65	2024-09-20 02:28:52.041
66	2024-10-22 18:11:01.570
67	2024-11-24 13:05:27.701
68	2024-12-27 05:22:29.622
69	2025-01-28 23:05:12.061
70	2025-03-02 16:04:32.345
71	2025-04-04 09:30:54.803
72	2025-05-07 03:01:32.823
73	2025-06-08 20:30:46.128
74	2025-07-11 13:40:06.838
75	2025-08-13 07:04:47.324
76	2025-09-14 23:51:46.141
77	2025-10-17 16:04:02.077
78	2025-11-19 06:57:21.045
79	2025-12-21 22:04:25.825
80	2026-01-23 12:53:29.762
81	2026-02-25 03:56:48.629
82	2026-03-29 19:06:14.510
83	2026-05-01 09:19:58.070
84	2026-06-03 00:39:51.340
85	2026-07-05 15:01:42.260
86	2026-08-07 05:33:42.395
87	2026-09-08 19:22:06.801
88	2026-10-11 09:21:30.386
89	2026-11-12 23:21:09.155
90	2026-12-15 13:10:41.992
91	2027-01-17 04:12:02.858
92	2027-02-18 18:58:24.710
93	2027-03-23 09:43:04.720
94	2027-04-24 23:56:56.137
95	2027-05-27 14:28:19.964
96	2027-06-29 05:07:12.224
97	2027-07-31 19:58:05.150
98	2027-09-02 11:31:57.988
99	2027-10-05 02:35:19.224
100	2027-11-06 17:39:09.929
101	2027-12-09 08:21:44.161
102	2028-01-10 23:31:05.836
103	2028-02-12 14:03:59.697
104	2028-03-16 04:40:26.928
105	2028-04-17 19:19:19.683
106	2028-05-20 09:46:29.450
107	2028-06-22 00:41:42.302
108	2028-07-24 15:16:47.394
109	2028-08-26 06:02:49.592
110	2028-09-27 20:01:16.350
